Order_ID,Date,City,Vehicle_Type,Weather_Condition,Distance_km,Estimated_Time_min,Actual_Time_min,Delivery_Cost,Customer_Rating,Delivery_Delay,Delivery_Efficiency,Delivery_Cost_Efficiency,Distance by bins
ORD10000,11-02-2026,Delhi,Petrol Bike,RAINY,NULL,26,24,41,4,-2,ON TIME,NULL,Unknown
ORD10001,24-09-2025,Mumbai,Bicycle,CLEAR,8.90,45,73,139,1,28,LONG DELAY,15.62,5-10 km
ORD10002,12-18-2025,Bengaluru,EV Scooter,RAINY,2.40,19,51,74,2,32,LONG DELAY,30.83,0-5 km
ORD10003,16-01-2026,Mumbai,EV Scooter,RAINY,NULL,60,99,176,1,39,LONG DELAY,NULL,Unknown
ORD10004,10-29-2025,Bengaluru,EV Scooter,CLEAR,6.30,35,44,63,5,9,SLIGHT DELAY,10.00,5-10 km
ORD10005,02-27-2026,Delhi,EV Scooter,RAINY,8.50,44,71,135,1,27,LONG DELAY,15.88,5-10 km
ORD10006,15-09-2025,Bengaluru,Petrol Bike,TRAFFIC,4.70,28,29,47,5,1,SLIGHT DELAY,10.00,0-5 km
ORD10007,02-12-2026,Bengaluru,EV Scooter,RAINY,11.40,55,92,164,2,37,LONG DELAY,14.39,10+ km
ORD10008,10-06-2025,Bengaluru,EV Scooter,CLEAR,3.10,22,22,31,4,0,ON TIME,10.00,0-5 km
ORD10009,12-29-2025,Mumbai,EV Scooter,CLEAR,10.50,52,75,155,2,23,LONG DELAY,14.76,10+ km
ORD10010,11-07-2025,Delhi,EV Scooter,CLEAR,13.20,62,86,182,1,24,LONG DELAY,13.79,10+ km
ORD10011,01-17-2026,Mumbai,EV Scooter,RAINY,7.80,41,64,128,2,23,LONG DELAY,16.41,5-10 km
ORD10012,01-24-2026,Bengaluru,Bicycle,TRAFFIC,12.40,59,78,174,1,19,LONG DELAY,14.03,10+ km
ORD10013,12-18-2025,Mumbai,Bicycle,RAINY,11.00,54,81,160,2,27,LONG DELAY,14.55,10+ km
ORD10014,03-11-2025,Bengaluru,EV Scooter,RAINY,NULL,46,66,142,NULL,20,LONG DELAY,NULL,Unknown
ORD10015,24-11-2025,Bengaluru,Petrol Bike,TRAFFIC,4.00,26,25,40,5,-1,ON TIME,10.00,0-5 km
ORD10016,14-12-2025,Bengaluru,Bicycle,TRAFFIC,6.00,34,42,60,NULL,8,SLIGHT DELAY,10.00,5-10 km
ORD10017,28-09-2025,Bengaluru,Bicycle,TRAFFIC,3.00,22,22,30,4,0,ON TIME,10.00,0-5 km
ORD10018,19-01-2026,Delhi,Bicycle,CLEAR,14.60,68,90,196,1,22,LONG DELAY,13.42,10+ km
ORD10019,10-13-2025,Mumbai,Petrol Bike,TRAFFIC,5.00,30,40,50,4,10,SLIGHT DELAY,10.00,0-5 km
ORD10020,20-11-2025,Mumbai,Petrol Bike,RAINY,1.80,17,14,18,4,-3,ON TIME,10.00,0-5 km
ORD10021,10-01-2025,Mumbai,EV Scooter,CLEAR,9.70,48,76,147,2,28,LONG DELAY,15.15,5-10 km
ORD10022,20-11-2025,Mumbai,EV Scooter,RAINY,7.40,39,83,124,NULL,44,LONG DELAY,16.76,5-10 km
ORD10023,07-11-2025,Bengaluru,EV Scooter,RAINY,6.20,34,59,112,2,25,LONG DELAY,18.06,5-10 km
ORD10024,02-15-2026,Delhi,Bicycle,RAINY,14.00,66,84,190,1,18,LONG DELAY,13.57,10+ km
ORD10025,10-10-2025,Mumbai,EV Scooter,RAINY,3.90,25,65,89,2,40,LONG DELAY,22.82,0-5 km
ORD10026,09-24-2025,Delhi,Petrol Bike,CLEAR,1.00,14,13,10,5,-1,ON TIME,10.00,0-5 km
ORD10027,03-09-2025,Delhi,EV Scooter,CLEAR,12.70,60,79,177,2,19,LONG DELAY,13.94,10+ km
ORD10028,09-11-2025,Bengaluru,Bicycle,RAINY,10.30,51,77,153,2,26,LONG DELAY,14.85,10+ km
ORD10029,10-31-2025,Delhi,EV Scooter,TRAFFIC,1.30,15,20,13,4,5,SLIGHT DELAY,10.00,0-5 km
ORD10030,09-28-2025,Bengaluru,Petrol Bike,RAINY,3.80,25,34,38,4,9,SLIGHT DELAY,10.00,0-5 km
ORD10031,12-12-2025,Delhi,EV Scooter,RAINY,5.90,33,69,109,2,36,LONG DELAY,18.47,5-10 km
ORD10032,06-11-2025,Bengaluru,EV Scooter,CLEAR,9.40,47,73,144,1,26,LONG DELAY,15.32,5-10 km
ORD10033,05-11-2025,Mumbai,EV Scooter,RAINY,6.10,34,56,111,2,22,LONG DELAY,18.20,5-10 km
ORD10034,11-16-2025,Delhi,Petrol Bike,RAINY,6.60,36,40,66,5,4,SLIGHT DELAY,10.00,5-10 km
ORD10035,02-05-2026,Mumbai,Bicycle,CLEAR,5.30,31,32,53,5,1,SLIGHT DELAY,10.00,5-10 km
ORD10036,10-25-2025,Delhi,Bicycle,RAINY,10.20,50,74,152,NULL,24,LONG DELAY,14.90,10+ km
ORD10037,10-31-2025,Bengaluru,EV Scooter,RAINY,1.30,15,42,63,1,27,LONG DELAY,48.46,0-5 km
ORD10038,26-01-2026,Delhi,Petrol Bike,TRAFFIC,6.60,36,35,66,4,-1,ON TIME,10.00,5-10 km
ORD10039,02-26-2026,Bengaluru,Bicycle,RAINY,13.80,65,83,188,2,18,LONG DELAY,13.62,10+ km
ORD10040,02-04-2026,Mumbai,Petrol Bike,TRAFFIC,13.60,64,94,186,2,30,LONG DELAY,13.68,10+ km
ORD10041,08-02-2026,Mumbai,EV Scooter,RAINY,4.30,27,57,93,1,30,LONG DELAY,21.63,0-5 km
ORD10042,10-10-2025,Bengaluru,Petrol Bike,TRAFFIC,5.60,32,41,56,5,9,SLIGHT DELAY,10.00,5-10 km
ORD10043,26-02-2026,Delhi,Bicycle,TRAFFIC,7.70,40,46,77,5,6,SLIGHT DELAY,10.00,5-10 km
ORD10044,02-02-2026,Mumbai,EV Scooter,RAINY,7.10,38,58,121,2,20,LONG DELAY,17.04,5-10 km
ORD10045,10-03-2025,Mumbai,EV Scooter,TRAFFIC,9.30,47,62,93,5,15,SLIGHT DELAY,10.00,5-10 km
ORD10046,23-11-2025,Bengaluru,Petrol Bike,TRAFFIC,4.90,29,37,49,4,8,SLIGHT DELAY,10.00,0-5 km
ORD10047,29-11-2025,Bengaluru,Bicycle,CLEAR,11.60,56,78,166,1,22,LONG DELAY,14.31,10+ km
ORD10048,09-30-2025,Bengaluru,Petrol Bike,RAINY,11.70,56,76,167,1,20,LONG DELAY,14.27,10+ km
ORD10049,19-11-2025,Bengaluru,Petrol Bike,TRAFFIC,6.60,36,37,66,4,1,SLIGHT DELAY,10.00,5-10 km
ORD10050,02-23-2026,Bengaluru,Bicycle,CLEAR,5.90,33,41,59,NULL,8,SLIGHT DELAY,10.00,5-10 km
ORD10051,04-01-2026,Bengaluru,Bicycle,TRAFFIC,10.90,53,81,159,2,28,LONG DELAY,14.59,10+ km
ORD10052,01-02-2026,Delhi,Bicycle,RAINY,5.50,32,34,55,5,2,SLIGHT DELAY,10.00,5-10 km
ORD10053,02-04-2026,Bengaluru,EV Scooter,TRAFFIC,12.90,61,81,179,2,20,LONG DELAY,13.88,10+ km
ORD10054,02-27-2026,Mumbai,EV Scooter,RAINY,2.20,18,61,72,1,43,LONG DELAY,32.73,0-5 km
ORD10055,01-04-2026,Bengaluru,EV Scooter,RAINY,4.10,26,68,91,2,42,LONG DELAY,22.20,0-5 km
ORD10056,12-18-2025,Mumbai,Petrol Bike,RAINY,10.80,53,76,158,1,23,LONG DELAY,14.63,10+ km
ORD10057,24-02-2026,Bengaluru,Bicycle,TRAFFIC,4.90,29,33,49,5,4,SLIGHT DELAY,10.00,0-5 km
ORD10058,09-04-2025,Bengaluru,Petrol Bike,CLEAR,NULL,68,92,196,2,24,LONG DELAY,NULL,Unknown
ORD10059,11-12-2025,Mumbai,Petrol Bike,RAINY,14.50,68,91,195,1,23,LONG DELAY,13.45,10+ km
ORD10060,02-09-2026,Bengaluru,EV Scooter,RAINY,2.20,18,45,72,1,27,LONG DELAY,32.73,0-5 km
ORD10061,23-12-2025,Mumbai,Petrol Bike,RAINY,9.00,46,62,140,1,16,LONG DELAY,15.56,5-10 km
ORD10062,21-09-2025,Bengaluru,Bicycle,CLEAR,3.20,22,30,32,NULL,8,SLIGHT DELAY,10.00,0-5 km
ORD10063,11-12-2025,Mumbai,EV Scooter,RAINY,13.90,65,110,189,1,45,LONG DELAY,13.60,10+ km
ORD10064,13-02-2026,Bengaluru,EV Scooter,CLEAR,1.80,17,21,18,5,4,SLIGHT DELAY,10.00,0-5 km
ORD10065,11-17-2025,Bengaluru,Bicycle,TRAFFIC,7.10,38,34,71,NULL,-4,ON TIME,10.00,5-10 km
ORD10066,02-20-2026,Mumbai,Bicycle,CLEAR,15.00,70,93,200,1,23,LONG DELAY,13.33,10+ km
ORD10067,11-11-2025,Mumbai,Petrol Bike,TRAFFIC,14.60,68,98,196,1,30,LONG DELAY,13.42,10+ km
ORD10068,02-25-2026,Delhi,Petrol Bike,CLEAR,7.40,39,44,74,5,5,SLIGHT DELAY,10.00,5-10 km
ORD10069,09-01-2025,Mumbai,Petrol Bike,TRAFFIC,1.80,17,23,18,5,6,SLIGHT DELAY,10.00,0-5 km
ORD10070,19-01-2026,Bengaluru,Petrol Bike,TRAFFIC,2.70,20,22,27,4,2,SLIGHT DELAY,10.00,0-5 km
ORD10071,09-30-2025,Bengaluru,Bicycle,RAINY,8.00,42,46,80,5,4,SLIGHT DELAY,10.00,5-10 km
ORD10072,20-01-2026,Bengaluru,Bicycle,RAINY,13.10,62,85,181,2,23,LONG DELAY,13.82,10+ km
ORD10073,01-09-2025,Bengaluru,Bicycle,TRAFFIC,13.10,62,91,181,2,29,LONG DELAY,13.82,10+ km
ORD10074,10-19-2025,Bengaluru,Bicycle,TRAFFIC,4.30,27,35,43,5,8,SLIGHT DELAY,10.00,0-5 km
ORD10075,02-14-2026,Mumbai,EV Scooter,RAINY,8.00,42,80,130,NULL,38,LONG DELAY,16.25,5-10 km
ORD10076,09-04-2025,Mumbai,Bicycle,RAINY,2.00,18,21,20,4,3,SLIGHT DELAY,10.00,0-5 km
ORD10077,01-15-2026,Bengaluru,Bicycle,TRAFFIC,13.20,62,78,182,2,16,LONG DELAY,13.79,10+ km
ORD10078,12-21-2025,Delhi,Bicycle,CLEAR,7.20,38,42,72,4,4,SLIGHT DELAY,10.00,5-10 km
ORD10079,08-10-2025,Mumbai,Bicycle,RAINY,3.40,23,20,34,4,-3,ON TIME,10.00,0-5 km
ORD10080,10-30-2025,Bengaluru,Petrol Bike,RAINY,10.30,51,80,153,NULL,29,LONG DELAY,14.85,10+ km
ORD10081,29-01-2026,Mumbai,Bicycle,RAINY,7.40,39,43,74,5,4,SLIGHT DELAY,10.00,5-10 km
ORD10082,12-01-2025,Delhi,Petrol Bike,CLEAR,14.70,68,95,197,1,27,LONG DELAY,13.40,10+ km
ORD10083,11-13-2025,Bengaluru,Bicycle,RAINY,4.10,26,27,41,4,1,SLIGHT DELAY,10.00,0-5 km
ORD10084,13-02-2026,Delhi,Petrol Bike,CLEAR,9.10,46,65,141,2,19,LONG DELAY,15.49,5-10 km
ORD10085,01-17-2026,Bengaluru,Bicycle,RAINY,12.60,60,83,176,2,23,LONG DELAY,13.97,10+ km
ORD10086,09-30-2025,Bengaluru,EV Scooter,RAINY,13.00,62,105,180,NULL,43,LONG DELAY,13.85,10+ km
ORD10087,11-07-2025,Mumbai,Petrol Bike,RAINY,9.20,46,72,142,1,26,LONG DELAY,15.43,5-10 km
ORD10088,11-23-2025,Bengaluru,Bicycle,CLEAR,NULL,49,78,149,2,29,LONG DELAY,NULL,Unknown
ORD10089,09-10-2025,Mumbai,EV Scooter,CLEAR,4.30,27,26,43,5,-1,ON TIME,10.00,0-5 km
ORD10090,12-16-2025,Delhi,Petrol Bike,TRAFFIC,14.10,66,89,191,2,23,LONG DELAY,13.55,10+ km
ORD10091,02-12-2025,Delhi,Petrol Bike,RAINY,1.80,17,20,18,NULL,3,SLIGHT DELAY,10.00,0-5 km
ORD10092,02-11-2026,Bengaluru,EV Scooter,RAINY,4.40,27,51,94,1,24,LONG DELAY,21.36,0-5 km
ORD10093,10-30-2025,Bengaluru,Bicycle,CLEAR,4.90,29,28,49,4,-1,ON TIME,10.00,0-5 km
ORD10094,04-10-2025,Delhi,EV Scooter,RAINY,1.20,14,42,62,1,28,LONG DELAY,51.67,0-5 km
ORD10095,12-02-2025,Bengaluru,Petrol Bike,RAINY,14.20,66,82,192,2,16,LONG DELAY,13.52,10+ km
ORD10096,09-16-2025,Delhi,Petrol Bike,TRAFFIC,10.60,52,82,156,1,30,LONG DELAY,14.72,10+ km
ORD10097,03-10-2025,Delhi,Bicycle,RAINY,6.30,35,39,63,4,4,SLIGHT DELAY,10.00,5-10 km
ORD10098,02-15-2026,Delhi,Bicycle,RAINY,7.00,38,40,70,5,2,SLIGHT DELAY,10.00,5-10 km
ORD10099,12-19-2025,Bengaluru,Petrol Bike,RAINY,10.60,52,82,156,1,30,LONG DELAY,14.72,10+ km
ORD10100,12-05-2025,Mumbai,EV Scooter,RAINY,10.40,51,84,154,2,33,LONG DELAY,14.81,10+ km
ORD10101,11-13-2025,Bengaluru,EV Scooter,RAINY,3.20,22,57,82,2,35,LONG DELAY,25.63,0-5 km
ORD10102,10-28-2025,Delhi,Bicycle,CLEAR,9.50,48,71,145,2,23,LONG DELAY,15.26,5-10 km
ORD10103,10-17-2025,Mumbai,Bicycle,TRAFFIC,2.00,18,13,20,5,-5,ON TIME,10.00,0-5 km
ORD10104,12-04-2025,Bengaluru,Bicycle,CLEAR,13.40,63,82,184,1,19,LONG DELAY,13.73,10+ km
ORD10105,01-03-2026,Mumbai,Petrol Bike,RAINY,11.60,56,74,166,2,18,LONG DELAY,14.31,10+ km
ORD10106,10-27-2025,Mumbai,EV Scooter,CLEAR,NULL,25,26,39,5,1,SLIGHT DELAY,NULL,Unknown
ORD10107,20-12-2025,Mumbai,Bicycle,RAINY,8.00,42,48,80,4,6,SLIGHT DELAY,10.00,5-10 km
ORD10108,09-20-2025,Mumbai,Petrol Bike,TRAFFIC,10.90,53,81,159,2,28,LONG DELAY,14.59,10+ km
ORD10109,12-27-2025,Bengaluru,EV Scooter,TRAFFIC,12.80,61,83,178,1,22,LONG DELAY,13.91,10+ km
ORD10110,26-11-2025,Delhi,EV Scooter,CLEAR,8.10,42,60,131,2,18,LONG DELAY,16.17,5-10 km
